iter	Recall	Logloss
0	0.6264244064	0.683720564
1	0.6033703213	0.6755253547
2	0.6339313047	0.6674685534
3	0.6287437205	0.6616867303
4	0.6328738636	0.6544765771
5	0.6361240164	0.6484550306
6	0.6398245416	0.6429375014
7	0.6359621314	0.6383629829
8	0.6345352603	0.63359036
9	0.6341014915	0.6292554219
10	0.6366895762	0.6254150109
11	0.638267955	0.6220043171
12	0.6378258844	0.6188575416
13	0.640270763	0.6156846477
14	0.6413385815	0.6127362443
15	0.6406215139	0.6104433632
16	0.6404108558	0.6083668531
17	0.6412804689	0.6064460049
18	0.6426481896	0.6042721901
19	0.6438644026	0.6023107145
20	0.645195803	0.6006177415
21	0.6473397416	0.5990839605
22	0.6482508636	0.5980078983
23	0.6481657702	0.5963838822
24	0.649665282	0.5951454257
25	0.6504726316	0.5938553396
26	0.6509665884	0.5926437354
27	0.6505670645	0.5916550072
28	0.6511326243	0.5905873023
29	0.6521091229	0.5896002656
30	0.6531676018	0.5886626876
31	0.6540859879	0.5867016989
32	0.6538192927	0.5859029483
33	0.6549732423	0.5847980673
34	0.655087392	0.5840924401
35	0.6559165338	0.5833535047
36	0.6561064373	0.5827199354
37	0.6570798228	0.5818515237
38	0.6579359454	0.5807518365
39	0.6580646232	0.5801044415
40	0.6583915064	0.5796252663
41	0.6588771615	0.5790285791
42	0.6600290355	0.5778944954
43	0.6607211977	0.5774249079
44	0.661541	0.5763881235
45	0.6616696778	0.5754332708
46	0.6625216495	0.5740224292
47	0.6625351399	0.5736561727
48	0.6637295607	0.5726368024
49	0.6635676757	0.5723092466
50	0.663800126	0.572008219
51	0.664274366	0.571499182
52	0.6646738899	0.5704571318
53	0.664986245	0.5697593789
54	0.6649727545	0.5690567838
55	0.6652311479	0.5687842062
56	0.6652446383	0.568275909
57	0.6656244455	0.5676601329
58	0.666484719	0.5668516973
59	0.6671083914	0.5660566484
60	0.6671675416	0.5653541874
61	0.6674622554	0.5651406888
62	0.6681813984	0.5644265802
63	0.6684397917	0.5640493345
64	0.6687988444	0.5638383626
65	0.6690427096	0.5635770223
66	0.6691433689	0.5633988701
67	0.6699590203	0.5625008674
68	0.6705007124	0.561663841
69	0.6702931675	0.5614892756
70	0.6708431614	0.5609647391
71	0.6710195746	0.5607728902
72	0.6713858913	0.5603018728
73	0.6717854152	0.5597963948
74	0.6717667362	0.5595394002
75	0.6720894684	0.5590335728
76	0.6723592768	0.5583475852
77	0.6727255935	0.557884326
78	0.6727038013	0.5577636148
79	0.6728719126	0.5575244358
80	0.6731033252	0.5571599311
81	0.6731873809	0.5570323923
82	0.6733876617	0.5567030043
83	0.6737373748	0.5563074747
84	0.6738276568	0.5559929185
85	0.6740569939	0.5558541738
86	0.6741555777	0.5557355831
87	0.674082937	0.5553226621
88	0.6741441627	0.5552213497
89	0.6742967082	0.5550826956
90	0.6743641603	0.5549709197
91	0.6744388765	0.554774948
92	0.6745218944	0.5543948247
93	0.6748591549	0.5539550311
94	0.6747543447	0.5536475583
95	0.6749411351	0.5535394216
96	0.6748601926	0.5532595605
97	0.6752150943	0.5529297916
98	0.6753717907	0.5528160334
99	0.6755502793	0.5527025861
100	0.6757225416	0.552366988
101	0.6761002732	0.5519969929
102	0.6761282918	0.5517521908
103	0.6763327235	0.5514225899
104	0.6764520618	0.5512712151
105	0.6763192331	0.5510652878
106	0.6765921546	0.5508639999
107	0.6767872468	0.5507606549
108	0.6768910192	0.5506508535
109	0.6768910192	0.5505532275
110	0.6770352629	0.5504647714
111	0.6771722425	0.5503795215
112	0.6771317713	0.5501436861
113	0.677223091	0.55003829
114	0.677558276	0.5496163027
115	0.6777668586	0.5493062577
116	0.6779162909	0.5492248726
117	0.678168458	0.5488780169
118	0.6784476058	0.5485215971
119	0.678541001	0.5482799912
120	0.6785368501	0.5481880387
121	0.6786157172	0.548085355
122	0.6787412818	0.5480142768
123	0.6789021291	0.5478012754
124	0.679128353	0.547516809
125	0.6792217482	0.5472875916
126	0.679199956	0.5472057079
127	0.6792331632	0.5471227595
128	0.6793358979	0.547029608
129	0.6793867464	0.5467676812
130	0.6796316493	0.5465152732
131	0.6796524038	0.5464363116
132	0.6796575925	0.5463629813
133	0.6798236284	0.5462043526
134	0.6799107972	0.546127786
135	0.6798931559	0.5460603625
136	0.6799056086	0.5459559067
137	0.6800654181	0.5458582036
138	0.6800425882	0.5457990912
139	0.6801204175	0.5457247638
140	0.68020136	0.545634303
141	0.6802833403	0.5454147071
142	0.680333151	0.5453310744
143	0.6804234331	0.5452473796
144	0.6805687145	0.5450842785
145	0.6805541863	0.545004266
146	0.6805822049	0.5448227822
147	0.6805531486	0.5446899485
148	0.680589469	0.5446446708
149	0.6807056941	0.5445567196
150	0.6807316372	0.5445101477
151	0.680770033	0.5444688246
152	0.6808540887	0.544298458
153	0.6808841827	0.5442571392
154	0.6809049372	0.5441753507
155	0.6808655037	0.5441194523
156	0.6809215408	0.5440517112
157	0.6809889929	0.5440013565
158	0.6809360689	0.5439468535
159	0.6809972947	0.5438939029
160	0.6811176707	0.5437853319
161	0.6811643683	0.543721103
162	0.6811529533	0.5436693407
163	0.6812048395	0.543553102
164	0.6813065365	0.5435101117
165	0.681387479	0.5434467362
166	0.6813148383	0.5433503974
167	0.6813667245	0.5432025667
168	0.6815171946	0.5430302165
169	0.681572194	0.5429863144
170	0.6816126652	0.542932452
171	0.6817153999	0.5428713326
172	0.6817745502	0.542820907
173	0.6818160592	0.5427519561
174	0.6818015311	0.5426904189
175	0.6819302089	0.5426315094
176	0.6819488879	0.5424746394
177	0.681974831	0.5423426565
178	0.682076528	0.5422176201
179	0.6821097352	0.5421564579
180	0.6821844514	0.5420558066
181	0.6822218094	0.5419208284
182	0.6822280358	0.541866842
183	0.6822643561	0.5417665316
184	0.6822093567	0.5416291754
185	0.68218964	0.5415645559
186	0.6821906777	0.5415150091
187	0.6821024711	0.5414502715
188	0.6820661508	0.5414140191
189	0.6821730364	0.5412956848
190	0.6822155831	0.5412286018
191	0.68218964	0.5411651421
192	0.6822467148	0.5411144772
193	0.6823276573	0.54098929
194	0.6823909585	0.5408955479
195	0.6824137885	0.5408093475
196	0.6824698256	0.5407553809
197	0.6824885046	0.5406688327
198	0.6825403908	0.5406195904
199	0.6826068052	0.5405407373
200	0.6827624638	0.5404888181
201	0.6827894447	0.5404082553
202	0.6828517081	0.5403546776
203	0.6828610477	0.5403195563
204	0.6829347261	0.5402271871
205	0.6829741596	0.5401247416
206	0.6829814237	0.5400711638
207	0.6830208572	0.5400049887
208	0.6830488758	0.5399228485
209	0.6830457626	0.5398834218
210	0.6830976488	0.5398234047
211	0.6831412333	0.5397759385
212	0.6832055722	0.539717411
213	0.6832522698	0.5396657924
214	0.6832263267	0.5396530844
215	0.6832398171	0.5396034287
216	0.683232553	0.5395648068
217	0.6832937787	0.5395189179
218	0.6832979296	0.5394879438
219	0.6833653817	0.5394277555
220	0.6833788721	0.5393552754
221	0.6833695326	0.5392965966
222	0.6833249105	0.5392328991
223	0.683345665	0.5391928005
224	0.6833269859	0.5391469584
225	0.6833767967	0.5390991083
226	0.6833913248	0.5390269638
227	0.6833477404	0.5389818128
228	0.6834712296	0.5389403445
229	0.6834733051	0.5388881006
230	0.6834899086	0.5387898387
231	0.6834795314	0.5387330543
232	0.683514814	0.5386946451
233	0.6835314176	0.538650661
234	0.683544908	0.5386091013
235	0.6835511344	0.5385791954
236	0.6835459458	0.5385244165
237	0.6835542476	0.5384735841
238	0.6836860386	0.5384140464
239	0.6836434919	0.5383754795
240	0.683729623	0.5383281097
241	0.6838209427	0.5382505929
242	0.6838250936	0.5381939418
243	0.6838479236	0.5381106152
244	0.6838790553	0.5380656553
245	0.6838583008	0.5379897818
246	0.6839049984	0.5379608864
247	0.6839755637	0.5379154411
248	0.6839662241	0.5378727517
249	0.6840181104	0.5377934041
250	0.6841125433	0.5376943567
251	0.6840741475	0.5376443276
252	0.6840793361	0.5375975733
253	0.6839724505	0.5375397101
254	0.6839257529	0.5374796659
255	0.6839662241	0.5374475952
256	0.6839423565	0.5374117575
257	0.6840430158	0.5373289697
258	0.6840751852	0.5372880727
259	0.684072072	0.5372308723
260	0.6841011283	0.5371921377
261	0.6841198074	0.5371404215
262	0.684124996	0.5370643823
263	0.6841623541	0.5370210784
264	0.6842215043	0.5369736499
265	0.6842381079	0.5369411703
