iter	Passed	Remaining
0	8755	4368793
1	17484	4353710
2	25857	4283684
3	32487	4028504
4	39507	3911291
5	47678	3925563
6	55058	3877699
7	62176	3823844
8	68919	3759936
9	75500	3699518
10	81926	3642006
11	87969	3577415
12	94288	3532175
13	101210	3513440
14	108939	3522363
15	116300	3518085
16	123116	3497949
17	130374	3491136
18	137775	3487900
19	144678	3472278
20	152095	3469224
21	161144	3501228
22	169731	3520088
23	175836	3487425
24	183253	3481810
25	190162	3466805
26	197775	3464740
27	205236	3459697
28	215721	3503620
29	230765	3615329
30	239555	3624248
31	250533	3664046
32	259071	3666251
33	266846	3657366
34	273925	3639294
35	287231	3702094
36	300442	3759587
37	309049	3757392
38	316887	3745771
39	322930	3713704
40	329131	3684667
41	335346	3656878
42	340915	3623216
43	347904	3605560
44	354929	3588729
45	361491	3567759
46	367924	3546166
47	372996	3512387
48	379668	3494498
49	385722	3471501
50	391721	3448682
51	399434	3441283
52	414431	3495301
53	429201	3544885
54	439180	3553367
55	445580	3532813
56	452653	3517993
57	459141	3498977
58	469146	3506673
59	478424	3508445
60	486499	3501201
61	496098	3504692
62	505170	3504118
63	513525	3498394
64	519564	3477088
65	526395	3461449
66	532157	3439164
67	539071	3424686
68	546171	3411594
69	551383	3387071
70	556836	3364549
71	565471	3361415
72	576302	3370975
73	583278	3357792
74	589515	3340586
75	596783	3329425
76	602967	3312407
77	610050	3300528
78	616013	3282804
79	622863	3270033
80	630151	3259671
81	636768	3245967
82	643382	3232414
83	649128	3214732
84	655564	3200697
85	664880	3200703
86	673633	3197822
87	679722	3182337
88	685680	3166457
89	692434	3154422
90	698332	3138659
91	706848	3134717
92	715757	3132402
93	726058	3135956
94	730730	3115219
95	738943	3109721
96	745990	3099323
97	753472	3090776
98	762252	3087507
99	767892	3071571
100	775792	3064766
101	780354	3044913
102	784157	3022430
103	789378	3005711
104	795646	2993147
105	800168	2974212
106	805208	2957448
107	811143	2944148
108	816816	2930046
109	822673	2916750
110	828734	2904304
111	832837	2885188
112	840674	2879125
113	846398	2865876
114	851848	2851840
115	858265	2841153
116	863533	2826781
117	868916	2812933
118	873640	2797117
119	879164	2784021
120	883726	2768035
121	889797	2756913
122	895832	2745762
123	901952	2734952
124	906802	2720406
125	912861	2709604
126	918611	2697969
127	923631	2684305
128	930012	2674687
129	936215	2664614
130	940317	2648679
131	945602	2636223
132	951106	2624482
133	959306	2620196
134	964511	2607753
135	969369	2594489
136	975678	2585192
137	982173	2576426
138	987636	2565012
139	993718	2555275
140	1000089	2546326
141	1005146	2534102
142	1009416	2520012
143	1017896	2516465
144	1027242	2514972
145	1032456	2503353
146	1038042	2492714
147	1044488	2484189
148	1053744	2482311
149	1062478	2479115
150	1069809	2472605
151	1076738	2465164
152	1083929	2458323
153	1091465	2452254
154	1099628	2447561
155	1105849	2438540
156	1112598	2430708
157	1118942	2422014
158	1123808	2410180
159	1130309	2401907
160	1138193	2396569
161	1144299	2387488
162	1148811	2375150
163	1156401	2369212
164	1162999	2361242
165	1171403	2356920
166	1178699	2350340
167	1184946	2341680
168	1189544	2329818
169	1197997	2325524
170	1203891	2316259
171	1213269	2313676
172	1221589	2309016
173	1230112	2304693
174	1238666	2300381
175	1246979	2295576
176	1254147	2288642
177	1259540	2278494
178	1266679	2271530
179	1273169	2263413
180	1279610	2255225
181	1286115	2247168
182	1292110	2238245
183	1297131	2227682
184	1308446	2227894
185	1315672	2221081
186	1322300	2213262
187	1330546	2208140
188	1343792	2211214
189	1351669	2205356
190	1358277	2197422
191	1366105	2191461
192	1373418	2184659
193	1377922	2173424
194	1384109	2164888
195	1388701	2153903
196	1397660	2149701
197	1402857	2139712
198	1409611	2132125
199	1415483	2123224
200	1424789	2119463
201	1431216	2111399
202	1437865	2103675
203	1451851	2106608
204	1462693	2104852
205	1468865	2096342
206	1474497	2087090
207	1480390	2078239
208	1484652	2067147
209	1490722	2058616
210	1497330	2050846
211	1508929	2049865
212	1517075	2044134
213	1523627	2036249
214	1525670	2022400
215	1533661	2016480
216	1539132	2007255
217	1546160	2000078
218	1552303	1991768
219	1557885	1982762
220	1564152	1974653
221	1571484	1967894
222	1578075	1960210
223	1583850	1951529
224	1590161	1943530
225	1596543	1935632
226	1604325	1929430
227	1612172	1923293
228	1620641	1917876
229	1626590	1909475
230	1632578	1901141
231	1638647	1892920
232	1646273	1886502
233	1652051	1877972
234	1657615	1869225
235	1666113	1863787
236	1674000	1857646
237	1681780	1851372
238	1688911	1844376
239	1696407	1837775
240	1703716	1830965
241	1708868	1821851
242	1714791	1813586
243	1726158	1811051
244	1733259	1804004
245	1742325	1798986
246	1750611	1793136
247	1758809	1787177
248	1765898	1780082
249	1772440	1772440
250	1777989	1763821
251	1784037	1755719
252	1788649	1746231
253	1796322	1739745
254	1801962	1731297
255	1811943	1727008
256	1819879	1720741
257	1826740	1713454
258	1833159	1705758
259	1838267	1696862
260	1845894	1690302
261	1853224	1683463
262	1860153	1676260
263	1867589	1669511
264	1876003	1663625
265	1881921	1655524
266	1888475	1647995
267	1895281	1640691
268	1900258	1631820
269	1907525	1624929
270	1914585	1617860
271	1923223	1612113
272	1929004	1603970
273	1937556	1598130
274	1945790	1592010
275	1958611	1589597
276	1965605	1582419
277	1971794	1574598
278	1977328	1566271
279	1984060	1558904
280	1989805	1550773
281	1997317	1544025
282	2006610	1538637
283	2018726	1535369
284	2025063	1527679
285	2033471	1521548
286	2042138	1515593
287	2047483	1507175
288	2053514	1499278
289	2059407	1491295
290	2067961	1485237
291	2075725	1478598
292	2084323	1472542
293	2092930	1466474
294	2100780	1459864
295	2107941	1452770
296	2117730	1447472
297	2124756	1440271
298	2129762	1431713
299	2134658	1423105
300	2139519	1414499
301	2146124	1407061
302	2152351	1399383
303	2158773	1391840
304	2165158	1384281
305	2172362	1377249
306	2178927	1369814
307	2184487	1361758
308	2190177	1353799
309	2197135	1346631
310	2202500	1338497
311	2208234	1330602
312	2213462	1322420
313	2218342	1314050
314	2225213	1306871
315	2230752	1298919
316	2235625	1290597
317	2240450	1282270
318	2246423	1274616
319	2251250	1266328
320	2256848	1258492
321	2261913	1250374
322	2267324	1242465
323	2272114	1234234
324	2277622	1226411
325	2288586	1221515
326	2298132	1215831
327	2306047	1209268
328	2311326	1201327
329	2316399	1193296
330	2322263	1185687
331	2328953	1178506
332	2334637	1170824
333	2340417	1163201
334	2345872	1155429
335	2352249	1148121
336	2357288	1140172
337	2361923	1132046
338	2367004	1124152
339	2371900	1116188
340	2377021	1108347
341	2383653	1101219
342	2389440	1093708
343	2395305	1086243
344	2399824	1078182
345	2405238	1070539
346	2411253	1063175
347	2416220	1055360
348	2420999	1047481
349	2426700	1040014
350	2432941	1032787
351	2439483	1025692
352	2444651	1018027
353	2450038	1010467
354	2456181	1003229
355	2461734	995757
356	2466219	987869
357	2471313	980241
358	2475848	972408
359	2481629	965078
360	2486248	957308
361	2492052	950009
362	2496565	942229
363	2502670	935063
364	2508040	927631
365	2513582	920273
366	2518799	912807
367	2524342	905470
368	2530964	898526
369	2535907	890994
370	2540952	883511
371	2547923	876704
372	2554135	869638
373	2559535	862303
374	2564954	854984
375	2570552	847735
376	2576966	840760
377	2584456	834136
378	2590589	827074
379	2596005	819791
380	2601822	812642
381	2607124	805342
382	2613742	798454
383	2620498	791608
384	2625774	784322
385	2631448	777163
386	2637078	769999
387	2643686	763126
388	2648795	755826
389	2654114	748596
390	2659436	741377
391	2664679	734146
392	2671634	727391
393	2677979	720471
394	2683297	713281
395	2690818	706679
396	2696621	699627
397	2701341	692303
398	2706685	685151
399	2712381	678095
400	2716917	670760
401	2723358	663903
402	2728554	656748
403	2735091	649922
404	2740984	642947
405	2746341	635852
406	2751755	628779
407	2756795	621630
408	2762404	614618
409	2766864	607360
410	2773367	600558
411	2778247	593412
412	2783540	586363
413	2788195	579190
414	2794398	572346
415	2801329	565653
416	2806801	558667
417	2811538	551545
418	2816814	544539
419	2822572	537632
420	2829845	531016
421	2834501	523912
422	2838016	516613
423	2841129	509259
424	2846727	502363
425	2853269	495638
426	2857667	488547
427	2863347	481684
428	2868268	474701
429	2874253	467901
430	2879108	460924
431	2884827	454093
432	2890850	447313
433	2896110	440422
434	2901065	433492
435	2907378	426771
436	2917415	420588
437	2927905	414452
438	2935299	407866
439	2943948	401447
440	2951122	394821
441	2959451	388344
442	2971113	382287
443	2978040	375608
444	2984542	368876
445	2992606	362333
446	3000353	355746
447	3009315	349295
448	3017813	342780
449	3027860	336428
450	3035611	329811
451	3043672	323221
452	3051053	316555
453	3060166	310060
454	3069940	303620
455	3080313	297223
456	3087315	290491
457	3095788	283893
458	3103563	277224
459	3112972	270693
460	3122428	264153
461	3128641	257334
462	3137832	250755
463	3147764	244223
464	3156985	237622
465	3164469	230884
466	3171373	224101
467	3179210	217381
468	3188123	210728
469	3196166	204010
470	3204097	197279
471	3211081	190487
472	3218500	183719
473	3226755	176995
474	3234411	170232
475	3240249	163373
476	3246762	156552
477	3255379	149829
478	3265665	143171
479	3273635	136401
480	3280719	129591
481	3288133	122793
482	3295127	115977
483	3302437	109171
484	3312675	102453
485	3320051	95639
486	3327343	88820
487	3337015	82057
488	3345569	75258
489	3355178	68473
490	3362598	61636
491	3368459	54771
492	3375835	47932
493	3383528	41095
494	3391618	34258
495	3398248	27405
496	3408671	20575
497	3414407	13712
498	3421798	6857
499	3429284	0
