iter	Logloss
0	0.6823730398
1	0.672718852
2	0.6639684568
3	0.6561488971
4	0.6490908301
5	0.6426773465
6	0.6367904334
7	0.6318054384
8	0.6272605259
9	0.6230580754
10	0.6190640364
11	0.6155218113
12	0.611769662
13	0.6075622352
14	0.6047945598
15	0.6013785809
16	0.5990229793
17	0.5965576246
18	0.5944722828
19	0.5925687312
20	0.5908877276
21	0.5890086013
22	0.5868267378
23	0.5853005178
24	0.5840380772
25	0.5826505581
26	0.5808048067
27	0.5796717301
28	0.5780551868
29	0.5769373132
30	0.5760766551
31	0.574555461
32	0.5735832261
33	0.5718498746
34	0.5709994069
35	0.5699067885
36	0.5688540902
37	0.5682744796
38	0.566612434
39	0.5659026236
40	0.5653871162
41	0.5645918196
42	0.564000745
43	0.5635426433
44	0.5631568071
45	0.562453197
46	0.5618300205
47	0.5603803706
48	0.5596638073
49	0.5591542154
50	0.5584349036
51	0.5581021333
52	0.5574159605
53	0.5571318376
54	0.5567552407
55	0.5564155158
56	0.5561312534
57	0.5548568048
58	0.5546293055
59	0.5535924684
60	0.5532885724
61	0.552685557
62	0.5522648207
63	0.5511207583
64	0.5506453998
65	0.5504166986
66	0.5501495291
67	0.5497800664
68	0.549425668
69	0.5485494756
70	0.5483327641
71	0.547476425
72	0.5470467654
73	0.5468443022
74	0.5464721622
75	0.5462800388
76	0.5455898678
77	0.5454053664
78	0.5451457036
79	0.5443492171
80	0.5440954628
81	0.5433317115
82	0.5430739668
83	0.5427276974
84	0.5424322722
85	0.5421402335
86	0.5420094196
87	0.5414416267
88	0.5412411296
89	0.5407700736
90	0.5403419331
91	0.5401632624
92	0.5398754807
93	0.5396987145
94	0.539501123
95	0.5393619265
96	0.5391630654
97	0.5385790301
98	0.5382190301
99	0.5380818074
100	0.5379079154
101	0.537381835
102	0.5372779073
103	0.5370944699
104	0.5370090361
105	0.5367795329
106	0.536629605
107	0.5365488805
108	0.5364065184
109	0.5362279436
110	0.5358922568
111	0.5357907408
112	0.5357049398
113	0.5355913647
114	0.5351847346
115	0.5350803345
116	0.5347669863
117	0.5346775694
118	0.5345472892
119	0.5343982542
120	0.5340054272
121	0.5338454016
122	0.5337259761
123	0.533577417
124	0.5334501391
125	0.5333319635
126	0.5332380589
127	0.5331365778
128	0.533032273
129	0.53293991
130	0.5326111594
131	0.5322880287
132	0.5321767995
133	0.5318616031
134	0.5317612218
135	0.5316663614
136	0.5315820134
137	0.5312887251
138	0.5310121604
139	0.5308885723
140	0.5307730775
141	0.5306862999
142	0.5305786677
143	0.5305206309
144	0.5302790275
145	0.5301864993
146	0.5300863401
147	0.5298771011
148	0.5297857278
149	0.5296814674
150	0.5295492797
151	0.5293307378
152	0.5291686447
153	0.5289558648
154	0.5288824346
155	0.5287780245
156	0.5286796675
157	0.5284273083
158	0.5283294873
159	0.5282466092
160	0.5281756985
161	0.5279667292
162	0.5279114386
163	0.5278268711
164	0.5276344579
165	0.5275226923
166	0.5274395354
167	0.5272549871
168	0.5271035794
169	0.5270603842
170	0.5268462266
171	0.5267811575
172	0.5266380984
173	0.526535663
174	0.5264824304
175	0.5264191758
176	0.5262490734
177	0.5261691124
178	0.5260285946
179	0.5259345911
180	0.5258615596
181	0.5257211428
182	0.5255626441
183	0.5254927625
184	0.5254383961
185	0.5253370868
186	0.5252747644
187	0.5251149738
188	0.5248429923
189	0.5247856024
190	0.5247013865
191	0.5244801804
192	0.5242380332
193	0.5241253114
194	0.5240710203
195	0.5240227597
196	0.5239726228
197	0.5239138411
198	0.5238666038
199	0.5238199526
