iter	Passed	Remaining
0	1239	246566
1	2313	229070
2	3509	230472
3	4579	224385
4	5940	231694
5	7155	231375
6	8228	226863
7	9252	222059
8	10395	220609
9	11471	217962
10	12672	217742
11	13689	214462
12	14731	211910
13	15868	210825
14	17005	209732
15	18145	208676
16	19152	206175
17	20197	204214
18	21505	204865
19	22515	202642
20	23685	201891
21	24850	201062
22	26135	201129
23	27243	199786
24	28515	199608
25	29601	198103
26	30772	197173
27	31925	196114
28	33201	195772
29	34215	193890
30	35281	192338
31	36247	190300
32	37531	189934
33	38812	189497
34	39904	188119
35	41046	186991
36	42216	185980
37	43679	186213
38	44932	185489
39	46098	184393
40	47406	183846
41	48875	183864
42	50045	182722
43	51498	182583
44	52822	181945
45	54016	180836
46	55225	179775
47	56791	179840
48	58655	180755
49	59817	179451
50	61211	178833
51	62674	178381
52	63915	177274
53	65053	175884
54	66524	175382
55	67811	174371
56	69053	173240
57	70428	172428
58	71738	171441
59	72691	169613
60	74128	168915
61	75318	167644
62	76850	167120
63	78338	166468
64	79697	165524
65	81254	164972
66	83018	164798
67	84631	164285
68	86206	163667
69	88380	164134
70	89791	163142
71	91411	162509
72	92957	161720
73	94122	160263
74	95490	159151
75	96682	157744
76	98165	156810
77	99573	155743
78	100926	154583
79	102338	153507
80	103450	151983
81	104790	150796
82	106326	149882
83	107318	148201
84	108873	147299
85	110351	146279
86	111730	145121
87	113208	144083
88	114467	142762
89	115677	141383
90	116614	139681
91	117839	138333
92	119132	137066
93	120142	135480
94	121657	134463
95	122954	133201
96	124192	131874
97	125814	130949
98	127212	129782
99	128325	128325
100	129718	127150
101	131357	126206
102	132784	125049
103	133863	123566
104	134829	121989
105	135892	120508
106	137699	119682
107	138863	118290
108	140087	116953
109	141276	115590
110	142583	114323
111	143944	113098
112	145008	111643
113	146190	110284
114	147896	109314
115	148899	107823
116	150424	106711
117	151542	105309
118	153083	104199
119	154423	102949
120	155911	101793
121	157543	100724
122	158835	99433
123	160158	98161
124	161085	96651
125	162277	95305
126	163568	94019
127	164787	92693
128	166284	91520
129	167476	90179
130	168700	88857
131	169331	87231
132	170754	86019
133	171671	84554
134	173411	83494
135	174726	82224
136	176056	80960
137	176812	79437
138	177449	77873
139	178950	76693
140	180047	75338
141	181391	74089
142	182436	72719
143	183909	71520
144	185123	70219
145	186342	68921
146	187854	67729
147	188863	66357
148	190571	65229
149	192068	64022
150	193271	62717
151	194831	61525
152	196456	60349
153	198239	59214
154	199635	57958
155	200889	56661
156	202085	55348
157	203557	54110
158	204923	52842
159	206148	51537
160	207371	50232
161	208728	48960
162	210007	47670
163	211371	46398
164	212783	45135
165	213994	43830
166	215763	42635
167	216987	41330
168	218120	40010
169	219352	38709
170	220903	37463
171	222194	36171
172	223270	34845
173	224424	33534
174	225758	32251
175	227095	30967
176	228577	29702
177	229725	28393
178	230721	27067
179	232040	25782
180	233514	24512
181	234793	23221
182	236531	21972
183	237912	20688
184	239166	19391
185	240597	18109
186	241937	16819
187	243446	15539
188	244345	14221
189	245566	12924
190	246797	11629
191	248191	10341
192	249281	9041
193	250529	7748
194	252049	6462
195	253204	5167
196	254162	3870
197	255590	2581
198	256885	1290
199	258272	0
